"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Entire home/apt";224;4,87;"Non";"Oui"
"Private room";40;5;"Non";"Oui"
"Entire home/apt";46;;"Non";"Oui"
"Private room";45;5;"Non";"Oui"
"Entire home/apt";250;;"Non";"Non"
"Entire home/apt";100;4,5;"Non";"Non"
"Entire home/apt";106;4,1;"Non";"Non"
"Private room";155;;"Non";"Non"
"Entire home/apt";250;4;"Non";"Non"
"Private room";55;5;"Non";"Oui"
"Entire home/apt";26;;"Non";"Oui"
"Entire home/apt";40;4;"Non";"Oui"
"Private room";24;4,82;"Non";"Non"
"Private room";49;5;"Non";"Non"
"Entire home/apt";86;5;"Non";"Oui"
"Entire home/apt";105;4,87;"Non";"Oui"
"Entire home/apt";58;;"Non";"Oui"
"Entire home/apt";69;4,69;"Non";"Non"
"Entire home/apt";170;;"Oui";"Oui"
"Entire home/apt";286;4,44;"Non";"Oui"
"Entire home/apt";57;4,43;"Oui";"Non"
"Private room";49;4,81;"Oui";"Oui"
"Entire home/apt";85;3,75;"Non";"Non"
"Entire home/apt";75;5;"Non";"Non"
"Entire home/apt";180;;"Oui";"Non"
"Entire home/apt";30;4,5;"Non";"Oui"
"Private room";21;1;"Non";"Non"
"Private room";20;4,4;"Non";"Oui"
"Entire home/apt";78;4,91;"Non";"Non"
"Entire home/apt";42;5;"Non";"Non"
"Entire home/apt";65;4,5;"Non";"Oui"
"Private room";28;;"Non";"Oui"
"Entire home/apt";70;4,69;"Non";"Non"
"Entire home/apt";35;4,25;"Non";"Oui"
"Private room";125;5;"Non";"Oui"
"Entire home/apt";100;5;"Non";"Oui"
"Entire home/apt";80;4,66;"Non";"Oui"
"Private room";35;4,91;"Non";"Non"
"Entire home/apt";55;4,8;"Non";"Non"
"Entire home/apt";70;0;"Non";"Non"
"Entire home/apt";49;4,67;"Non";"Non"
"Entire home/apt";109;4,92;"Non";"Non"
"Entire home/apt";92;3,67;"Non";"Non"
"Entire home/apt";35;5;"Non";"Oui"
"Entire home/apt";40;5;"Non";"Non"
"Entire home/apt";67;4,56;"Non";"Non"
"Entire home/apt";193;4,75;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Oui"
"Entire home/apt";80;4,67;"Non";"Non"
"Entire home/apt";390;;"Non";"Oui"
"Private room";120;4,4;"Non";"Non"
"Private room";250;4,75;"Non";"Oui"
"Entire home/apt";475;;"Non";"Non"
"Entire home/apt";65;5;"Non";"Oui"
"Entire home/apt";70;4,91;"Non";"Non"
"Entire home/apt";130;5;"Non";"Non"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";200;;"Non";"Non"
"Entire home/apt";70;4,9;"Non";"Oui"
"Private room";130;;"Non";"Oui"
"Entire home/apt";71;4,72;"Non";"Non"
"Entire home/apt";50;4,66;"Non";"Oui"
"Private room";198;;"Non";"Non"
"Private room";35;4,53;"Non";"Oui"
"Entire home/apt";80;2;"Non";"Non"
"Private room";40;4,71;"Non";"Non"
"Entire home/apt";190;;"Non";"Oui"
"Entire home/apt";45;5;"Non";"Oui"
"Entire home/apt";155;4,22;"Non";"Oui"
"Entire home/apt";69;4,63;"Non";"Oui"
"Entire home/apt";40;;"Non";"Non"
"Entire home/apt";45;4,65;"Non";"Non"
"Entire home/apt";74;5;"Non";"Oui"
"Entire home/apt";55;;"Non";"Non"
"Entire home/apt";44;4,76;"Non";"Non"
"Entire home/apt";70;4,08;"Non";"Oui"
"Entire home/apt";65;4,13;"Non";"Non"
"Entire home/apt";25;5;"Non";"Non"
"Entire home/apt";40;4;"Non";"Non"
"Entire home/apt";95;4,76;"Non";"Non"
"Entire home/apt";200;;"Non";"Non"
"Entire home/apt";125;5;"Non";"Non"
"Entire home/apt";160;;"Non";"Oui"
"Entire home/apt";100;4,9;"Non";"Oui"
"Private room";70;;"Non";"Oui"
"Entire home/apt";73;4,69;"Non";"Oui"
"Entire home/apt";129;;"Oui";"Oui"
"Entire home/apt";64;4,84;"Non";"Non"
"Private room";23;;"Non";"Oui"
"Entire home/apt";40;5;"Non";"Oui"
"Private room";45;;"Non";"Oui"
"Entire home/apt";47;5;"Non";"Non"
"Entire home/apt";35;;"Non";"Oui"
"Private room";50;5;"Non";"Oui"
"Entire home/apt";30;4,75;"Oui";"Oui"
"Private room";150;;"Non";"Non"
"Entire home/apt";70;4,65;"Non";"Oui"
"Entire home/apt";59;4,71;"Non";"Non"
"Private room";30;4,67;"Non";"Non"
"Shared room";35;4;"Non";"Non"
"Entire home/apt";90;;"Oui";"Oui"
"Private room";40;5;"Non";"Non"
"Entire home/apt";55;4,95;"Non";"Oui"
"Entire home/apt";139;5;"Non";"Non"
"Private room";40;4,27;"Non";"Non"
"Entire home/apt";66;4,67;"Non";"Non"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";38;4,88;"Non";"Oui"
"Entire home/apt";80;;"Non";"Oui"
"Private room";100;4;"Non";"Non"
"Entire home/apt";68;4,29;"Non";"Non"
"Entire home/apt";110;5;"Non";"Oui"
"Entire home/apt";75;4,74;"Non";"Non"
"Entire home/apt";65;4,75;"Non";"Oui"
"Entire home/apt";45;0;"Non";"Oui"
"Entire home/apt";90;;"Non";"Non"
"Private room";30;5;"Non";"Oui"
"Private room";50;;"Non";"Non"
"Private room";29;4,64;"Non";"Non"
"Private room";30;0;"Non";"Oui"
"Entire home/apt";65;4,62;"Non";"Oui"
"Entire home/apt";69;;"Non";"Non"
"Private room";30;4;"Non";"Oui"
"Private room";41;4,64;"Non";"Non"
"Entire home/apt";105;4,52;"Non";"Non"
"Entire home/apt";100;;"Non";"Oui"
"Entire home/apt";98;4,39;"Non";"Oui"
"Entire home/apt";195;5;"Non";"Non"
"Private room";70;;"Non";"Non"
"Entire home/apt";71;4,67;"Non";"Non"
"Entire home/apt";63;4,8;"Non";"Oui"
"Private room";30;5;"Non";"Oui"
"Entire home/apt";40;4,5;"Non";"Oui"
"Entire home/apt";320;;"Non";"Oui"
"Entire home/apt";44;4,75;"Oui";"Non"
"Entire home/apt";105;4,67;"Non";"Oui"
"Entire home/apt";152;5;"Non";"Oui"
"Entire home/apt";61;4,62;"Non";"Oui"
"Entire home/apt";65;4,6;"Non";"Oui"
"Private room";35;4,25;"Non";"Oui"
"Private room";140;4;"Non";"Oui"
"Entire home/apt";152;4,63;"Non";"Non"
"Entire home/apt";56;4,93;"Non";"Oui"
"Entire home/apt";35;4,5;"Non";"Non"
"Entire home/apt";73;5;"Non";"Oui"
"Entire home/apt";86;;"Non";"Oui"
"Entire home/apt";114;4;"Non";"Non"
"Entire home/apt";35;;"Non";"Oui"
"Private room";72;4,78;"Non";"Non"
"Entire home/apt";49;4,59;"Non";"Non"
"Entire home/apt";33;4,45;"Non";"Non"
"Entire home/apt";40;4,33;"Non";"Non"
"Entire home/apt";39;5;"Non";"Non"
"Entire home/apt";100;5;"Non";"Oui"
"Entire home/apt";49;5;"Non";"Oui"
"Entire home/apt";186;5;"Non";"Non"
"Entire home/apt";141;;"Non";"Non"
"Entire home/apt";70;4,73;"Non";"Oui"
"Entire home/apt";82;;"Non";"Non"
"Private room";60;;"Non";"Non"
"Entire home/apt";33;4,92;"Non";"Oui"
"Entire home/apt";85;;"Non";"Non"
"Private room";50;4,77;"Non";"Non"
"Entire home/apt";250;4,87;"Non";"Oui"
"Entire home/apt";130;4,25;"Non";"Non"
"Entire home/apt";66;4,86;"Non";"Oui"
"Private room";50;0;"Non";"Non"
"Entire home/apt";180;;"Non";"Non"
"Entire home/apt";40;4,83;"Non";"Non"
"Private room";20;4,7;"Non";"Oui"
"Entire home/apt";100;;"Non";"Non"
"Entire home/apt";80;0;"Oui";"Oui"
"Private room";60;3,6;"Non";"Oui"
"Shared room";30;;"Non";"Oui"
"Entire home/apt";70;4,67;"Oui";"Oui"
"Entire home/apt";110;4,89;"Non";"Oui"
"Entire home/apt";85;3,5;"Non";"Non"
"Entire home/apt";100;4;"Non";"Oui"
"Private room";40;5;"Non";"Oui"
"Private room";100;5;"Non";"Non"
"Entire home/apt";64;5;"Non";"Oui"
"Entire home/apt";47;4,71;"Non";"Non"
"Private room";40;4,61;"Non";"Non"
"Entire home/apt";90;;"Non";"Non"
"Hotel room";138;5;"Non";"Non"
"Private room";28;5;"Non";"Oui"
"Entire home/apt";43;4,85;"Non";"Non"
"Entire home/apt";70;0;"Non";"Non"
"Entire home/apt";101;4,71;"Non";"Non"
"Private room";40;4,6;"Non";"Oui"
"Private room";64;;"Non";"Oui"
"Entire home/apt";72;4,77;"Non";"Non"
"Entire home/apt";59;4,57;"Non";"Non"
"Entire home/apt";150;5;"Non";"Oui"
"Entire home/apt";25;;"Non";"Non"
"Entire home/apt";150;5;"Non";"Oui"
"Private room";56;;"Oui";"Oui"
"Private room";34;4,5;"Oui";"Oui"
"Entire home/apt";104;4,67;"Non";"Oui"
"Entire home/apt";103;5;"Non";"Non"
"Entire home/apt";49;4,25;"Non";"Oui"
"Entire home/apt";124;;"Non";"Oui"
"Private room";22;5;"Non";"Oui"
"Entire home/apt";65;4;"Non";"Non"
"Entire home/apt";170;4,5;"Non";"Oui"
"Entire home/apt";42;4,34;"Non";"Oui"
"Entire home/apt";125;;"Non";"Non"
"Private room";14;;"Non";"Non"
"Entire home/apt";400;;"Non";"Non"
"Entire home/apt";49;4;"Non";"Non"
"Entire home/apt";67;4,06;"Oui";"Oui"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";86;4,02;"Oui";"Oui"
"Entire home/apt";164;4,89;"Oui";"Oui"
"Private room";35;4,54;"Non";"Oui"
"Entire home/apt";75;4;"Non";"Non"
"Private room";25;5;"Non";"Oui"
"Private room";80;5;"Non";"Oui"
"Private room";160;;"Non";"Oui"
"Private room";35;;"Non";"Oui"
"Private room";100;5;"Non";"Non"
"Entire home/apt";60;5;"Non";"Non"
"Entire home/apt";159;5;"Non";"Oui"
"Entire home/apt";45;4,56;"Non";"Oui"
"Private room";18;4,67;"Non";"Non"
"Entire home/apt";50;5;"Non";"Non"
"Entire home/apt";50;;"Non";"Non"
"Entire home/apt";70;5;"Non";"Oui"
"Private room";35;;"Non";"Oui"
"Private room";77;4,85;"Non";"Oui"
"Entire home/apt";199;;"Non";"Non"
"Private room";50;;"Non";"Oui"
"Entire home/apt";55;5;"Non";"Non"
"Entire home/apt";75;4,82;"Non";"Oui"
"Entire home/apt";40;4,5;"Non";"Non"
"Entire home/apt";49;4,18;"Oui";"Non"
"Entire home/apt";211;5;"Non";"Non"
"Entire home/apt";24;4,17;"Non";"Non"
"Entire home/apt";50;;"Oui";"Oui"
"Private room";60;4,91;"Non";"Oui"
"Entire home/apt";230;;"Non";"Oui"
"Entire home/apt";75;4,5;"Non";"Oui"
"Private room";20;0;"Non";"Non"
"Private room";70;;"Oui";"Oui"
"Entire home/apt";50;3,67;"Non";"Non"
"Entire home/apt";200;4,91;"Non";"Non"
"Entire home/apt";149;4,5;"Non";"Non"
"Entire home/apt";85;0;"Non";"Non"
"Entire home/apt";90;;"Non";"Non"
"Entire home/apt";70;4,61;"Non";"Non"
"Entire home/apt";180;;"Non";"Oui"
"Entire home/apt";83;4,8;"Non";"Non"
"Entire home/apt";80;4,3;"Non";"Oui"
"Private room";211;;"Non";"Non"
"Entire home/apt";60;4,81;"Non";"Oui"
"Entire home/apt";100;4,8;"Non";"Non"
"Private room";50;4,64;"Oui";"Oui"
"Private room";75;;"Non";"Oui"
"Entire home/apt";89;4,75;"Non";"Oui"
"Entire home/apt";85;5;"Non";"Non"
"Entire home/apt";64;4;"Non";"Oui"
"Entire home/apt";110;4,92;"Non";"Oui"
"Entire home/apt";40;;"Non";"Oui"
"Entire home/apt";137;4,45;"Non";"Oui"
"Entire home/apt";260;4,43;"Non";"Oui"
"Entire home/apt";220;4,67;"Non";"Oui"
"Entire home/apt";200;;"Non";"Non"
"Entire home/apt";40;;"Non";"Non"
"Private room";23;4,68;"Non";"Oui"
"Private room";45;5;"Non";"Oui"
"Entire home/apt";66;4,66;"Non";"Oui"
"Entire home/apt";40;4,5;"Non";"Non"
"Entire home/apt";48;4,63;"Non";"Oui"
"Entire home/apt";86;4,33;"Non";"Non"
"Entire home/apt";80;4,58;"Non";"Non"
"Entire home/apt";30;5;"Non";"Oui"
"Entire home/apt";110;2;"Non";"Non"
"Entire home/apt";82;4,71;"Non";"Oui"
"Entire home/apt";60;5;"Non";"Oui"
"Entire home/apt";75;3;"Oui";"Oui"
"Entire home/apt";167;4,43;"Non";"Non"
"Private room";90;;"Non";"Non"
"Private room";65;4,33;"Non";"Non"
"Entire home/apt";90;4,55;"Non";"Non"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";105;4,77;"Non";"Oui"
"Entire home/apt";60;4,92;"Non";"Oui"
"Entire home/apt";60;5;"Non";"Non"
"Private room";90;5;"Non";"Oui"
"Entire home/apt";7777;5;"Oui";"Non"
"Entire home/apt";60;4,5;"Non";"Oui"
"Entire home/apt";63;4,75;"Non";"Non"
"Entire home/apt";59;4,39;"Non";"Non"
"Entire home/apt";60;5;"Oui";"Oui"
"Private room";27;4;"Non";"Oui"
"Entire home/apt";230;4,93;"Non";"Non"
"Entire home/apt";50;;"Oui";"Oui"
"Private room";150;;"Non";"Non"
"Entire home/apt";58;5;"Oui";"Oui"
"Shared room";150;5;"Non";"Oui"
"Entire home/apt";40;;"Oui";"Oui"
"Entire home/apt";65;4,5;"Oui";"Non"
"Entire home/apt";54;4,79;"Non";"Non"
"Entire home/apt";160;;"Non";"Non"
"Private room";25;4,79;"Non";"Non"
"Entire home/apt";65;4,94;"Non";"Non"
"Entire home/apt";90;5;"Non";"Oui"
"Entire home/apt";55;4,8;"Non";"Non"
"Private room";35;;"Non";"Oui"
"Private room";55;5;"Non";"Non"
"Entire home/apt";69;5;"Non";"Oui"
"Entire home/apt";30;5;"Non";"Non"
"Entire home/apt";55;4,92;"Non";"Oui"
"Entire home/apt";28;4,68;"Non";"Non"
"Entire home/apt";70;4,81;"Non";"Oui"
"Entire home/apt";71;4,94;"Non";"Non"
"Private room";30;4,92;"Non";"Oui"
"Entire home/apt";140;5;"Non";"Oui"
"Entire home/apt";90;5;"Non";"Oui"
"Entire home/apt";70;4,91;"Non";"Oui"
"Entire home/apt";45;4,42;"Non";"Oui"
"Entire home/apt";50;0;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";57;4,75;"Non";"Non"
"Entire home/apt";36;4,71;"Non";"Oui"
"Entire home/apt";138;4,65;"Non";"Oui"
"Entire home/apt";61;4,87;"Non";"Non"
"Entire home/apt";91;3,2;"Non";"Non"
"Entire home/apt";105;5;"Non";"Non"
"Entire home/apt";52;4,59;"Non";"Oui"
"Private room";228;;"Non";"Oui"
"Entire home/apt";65;;"Non";"Non"
"Entire home/apt";102;4,37;"Non";"Non"
"Entire home/apt";75;4,5;"Non";"Non"
"Private room";50;4,84;"Non";"Oui"
"Private room";75;3;"Non";"Oui"
"Entire home/apt";130;4,4;"Non";"Oui"
"Private room";23;5;"Non";"Oui"
"Entire home/apt";56;4,8;"Non";"Non"
"Private room";32;4,33;"Non";"Oui"
"Entire home/apt";55;4,2;"Non";"Non"
"Entire home/apt";194;4,5;"Non";"Non"
"Private room";89;0;"Non";"Non"
"Entire home/apt";64;4,3;"Non";"Oui"
"Entire home/apt";124;;"Non";"Non"
"Entire home/apt";99;3;"Non";"Non"
"Private room";19;4,61;"Non";"Oui"
"Entire home/apt";80;;"Oui";"Oui"
"Entire home/apt";66;4;"Non";"Non"
"Private room";25;;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Oui"
"Entire home/apt";350;4,38;"Non";"Oui"
"Private room";75;5;"Non";"Oui"
"Entire home/apt";130;4;"Oui";"Oui"
"Private room";40;4,67;"Non";"Non"
"Entire home/apt";45;4,8;"Non";"Non"
"Entire home/apt";71;4,83;"Non";"Non"
"Entire home/apt";93;4,94;"Non";"Oui"
"Private room";25;5;"Non";"Oui"
"Private room";80;4;"Non";"Non"
"Entire home/apt";35;4,54;"Non";"Oui"
"Private room";35;4,75;"Non";"Non"
"Entire home/apt";61;4,94;"Non";"Oui"
"Private room";130;;"Non";"Non"
"Private room";30;5;"Non";"Oui"
"Entire home/apt";25;4,14;"Non";"Non"
"Private room";22;4,67;"Non";"Oui"
"Entire home/apt";69;4,71;"Non";"Oui"
"Private room";130;5;"Non";"Oui"
"Entire home/apt";75;5;"Non";"Oui"
"Private room";30;5;"Non";"Oui"
"Entire home/apt";102;4,56;"Non";"Non"
"Entire home/apt";49;3,33;"Non";"Non"
"Hotel room";116;4,4;"Non";"Non"
"Entire home/apt";70;4,6;"Non";"Oui"
"Entire home/apt";55;;"Non";"Oui"
"Entire home/apt";50;4,25;"Non";"Non"
"Entire home/apt";31;5;"Non";"Oui"
"Private room";500;;"Non";"Non"
"Entire home/apt";50;;"Oui";"Oui"
"Entire home/apt";52;4,43;"Non";"Oui"
"Entire home/apt";229;5;"Non";"Oui"
"Entire home/apt";89;4,35;"Oui";"Oui"
"Entire home/apt";100;4,79;"Non";"Oui"
"Private room";33;4,82;"Non";"Oui"
"Private room";35;;"Non";"Oui"
"Private room";30;5;"Non";"Non"
"Entire home/apt";33;4,83;"Non";"Non"
"Entire home/apt";60;5;"Non";"Non"
"Entire home/apt";120;4,71;"Non";"Oui"
"Private room";35;4,53;"Non";"Oui"
"Entire home/apt";100;;"Oui";"Oui"
"Entire home/apt";40;4,79;"Non";"Non"
"Private room";30;5;"Non";"Oui"
"Entire home/apt";83;3,86;"Non";"Non"
"Private room";41;4,85;"Non";"Non"
"Entire home/apt";290;4,71;"Non";"Non"
"Entire home/apt";90;4;"Oui";"Oui"
"Entire home/apt";300;;"Non";"Oui"
"Entire home/apt";80;4,9;"Non";"Non"
"Private room";25;4,7;"Non";"Oui"
"Private room";40;4,88;"Non";"Oui"
"Entire home/apt";35;4;"Non";"Oui"
"Entire home/apt";130;5;"Non";"Oui"
"Entire home/apt";100;4,33;"Non";"Non"
"Entire home/apt";150;4,33;"Non";"Oui"
"Entire home/apt";80;;"Oui";"Oui"
"Entire home/apt";59;4,93;"Non";"Non"
"Entire home/apt";26;5;"Non";"Non"
"Entire home/apt";64;5;"Non";"Oui"
"Entire home/apt";48;4,86;"Oui";"Non"
"Entire home/apt";170;4,92;"Non";"Oui"
"Entire home/apt";37;5;"Non";"Oui"
"Entire home/apt";77;4,22;"Non";"Non"
"Entire home/apt";350;;"Non";"Oui"
"Entire home/apt";50;4,88;"Non";"Oui"
"Private room";70;5;"Non";"Oui"
"Entire home/apt";65;4;"Non";"Non"
"Entire home/apt";64;4,67;"Non";"Oui"
"Private room";29;4,83;"Non";"Non"
"Private room";39;5;"Non";"Non"
"Entire home/apt";49;4,75;"Non";"Oui"
"Entire home/apt";70;5;"Non";"Non"
"Entire home/apt";90;4,92;"Non";"Non"
"Entire home/apt";81;4,4;"Non";"Non"
"Private room";45;;"Non";"Oui"
"Entire home/apt";121;3,83;"Oui";"Non"
"Private room";30;4,67;"Non";"Non"
"Entire home/apt";99;4,52;"Non";"Non"
"Entire home/apt";35;4,68;"Non";"Non"
"Entire home/apt";633;4,88;"Non";"Oui"
"Entire home/apt";100;4,62;"Non";"Non"
"Entire home/apt";100;4,8;"Non";"Non"
"Private room";32;4,76;"Non";"Non"
"Entire home/apt";96;4,84;"Non";"Oui"
"Entire home/apt";50;;"Oui";"Non"
"Private room";29;4,84;"Non";"Oui"
"Entire home/apt";180;5;"Non";"Non"
"Entire home/apt";145;4,6;"Non";"Non"
"Entire home/apt";130;5;"Non";"Non"
"Entire home/apt";105;4,8;"Non";"Oui"
"Entire home/apt";150;;"Oui";"Oui"
"Private room";30;3;"Non";"Oui"
"Entire home/apt";55;;"Non";"Oui"
"Entire home/apt";100;;"Oui";"Oui"
"Entire home/apt";55;4,8;"Non";"Non"
"Entire home/apt";64;4,68;"Non";"Oui"
"Entire home/apt";55;5;"Non";"Non"
"Entire home/apt";76;4,57;"Non";"Non"
"Entire home/apt";26;4,25;"Oui";"Oui"
"Entire home/apt";290;;"Non";"Oui"
"Entire home/apt";82;4,94;"Non";"Non"
"Private room";20;5;"Non";"Non"
"Entire home/apt";59;4,8;"Non";"Non"
"Entire home/apt";111;4,73;"Non";"Non"
"Private room";60;5;"Non";"Oui"
"Entire home/apt";260;5;"Non";"Oui"
"Entire home/apt";75;5;"Non";"Oui"
"Entire home/apt";61;4,85;"Non";"Non"
"Entire home/apt";56;4,61;"Non";"Non"
"Entire home/apt";200;5;"Non";"Non"
"Entire home/apt";100;5;"Non";"Oui"
"Entire home/apt";130;4,5;"Non";"Non"
"Private room";30;4,67;"Non";"Non"
"Entire home/apt";200;5;"Non";"Non"
"Entire home/apt";40;;"Non";"Non"
"Entire home/apt";65;4,92;"Non";"Non"
"Entire home/apt";65;;"Non";"Non"
"Entire home/apt";146;4,92;"Non";"Oui"
"Entire home/apt";160;5;"Non";"Oui"
"Entire home/apt";65;4,5;"Non";"Oui"
"Entire home/apt";55;4,27;"Non";"Oui"
"Entire home/apt";103;;"Non";"Non"
"Entire home/apt";125;5;"Non";"Non"
"Entire home/apt";45;4,84;"Non";"Oui"
"Private room";26;4,56;"Non";"Non"
"Entire home/apt";100;4,75;"Non";"Oui"
"Entire home/apt";190;4,9;"Non";"Non"
"Private room";90;;"Non";"Oui"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";80;4;"Non";"Oui"
"Private room";41;;"Non";"Oui"
"Entire home/apt";66;5;"Oui";"Oui"
"Entire home/apt";49;4,33;"Non";"Non"
"Entire home/apt";45;4,27;"Oui";"Oui"
"Entire home/apt";90;4,9;"Non";"Non"
"Entire home/apt";100;4;"Oui";"Oui"
"Entire home/apt";63;;"Non";"Non"
"Entire home/apt";80;5;"Non";"Non"
"Entire home/apt";47;;"Non";"Oui"
"Entire home/apt";60;4,9;"Non";"Oui"
"Entire home/apt";150;;"Non";"Oui"
"Entire home/apt";76;4,93;"Non";"Non"
"Entire home/apt";105;4,66;"Non";"Oui"
"Entire home/apt";40;4,5;"Non";"Non"
"Private room";20;5;"Non";"Non"
"Entire home/apt";148;4,81;"Non";"Non"
"Entire home/apt";317;4,08;"Non";"Oui"
"Private room";54;4,87;"Non";"Non"
"Entire home/apt";65;4,88;"Non";"Non"
